Date,Temperature,Type
1928-12-01,16.004470588235296,Historical
1929-01-01,15.438058823529412,Historical
1929-02-01,16.968,Historical
1929-03-01,22.50635294117647,Historical
1929-04-01,25.085117647058823,Historical
1929-05-01,27.653,Historical
1929-06-01,26.87964705882353,Historical
1929-07-01,25.63126470588235,Historical
1929-08-01,25.00388235294118,Historical
1929-09-01,24.993205882352942,Historical
1929-10-01,22.564647058823528,Historical
1929-11-01,19.4275,Historical
1929-12-01,15.375970588235294,Historical
1930-01-01,14.801470588235293,Historical
1930-02-01,17.25370588235294,Historical
1930-03-01,21.74158823529412,Historical
1930-04-01,24.589205882352942,Historical
1930-05-01,27.085764705882355,Historical
1930-06-01,26.714117647058824,Historical
1930-07-01,25.56029411764706,Historical
1930-08-01,25.2105,Historical
1930-09-01,24.951617647058825,Historical
1930-10-01,22.913382352941177,Historical
1930-11-01,18.94414705882353,Historical
1930-12-01,16.058529411764706,Historical
1931-01-01,16.427264705882354,Historical
1931-02-01,17.279323529411762,Historical
1931-03-01,21.40855882352941,Historical
1931-04-01,25.97085294117647,Historical
1931-05-01,27.29744117647059,Historical
1931-06-01,27.928176470588234,Historical
1931-07-01,25.748500000000003,Historical
1931-08-01,25.771323529411767,Historical
1931-09-01,24.767529411764706,Historical
1931-10-01,23.021088235294116,Historical
1931-11-01,19.194911764705882,Historical
1931-12-01,16.40514705882353,Historical
1932-01-01,16.239029411764708,Historical
1932-02-01,16.817588235294117,Historical
1932-03-01,21.826176470588237,Historical
1932-04-01,25.056029411764705,Historical
1932-05-01,26.92488235294118,Historical
1932-06-01,27.726764705882353,Historical
1932-07-01,25.90520588235294,Historical
1932-08-01,25.24779411764706,Historical
1932-09-01,25.024411764705885,Historical
1932-10-01,23.214676470588234,Historical
1932-11-01,19.631794117647058,Historical
1932-12-01,16.045088235294116,Historical
1933-01-01,14.776323529411764,Historical
1933-02-01,17.91014705882353,Historical
1933-03-01,21.74823529411765,Historical
1933-04-01,24.029382352941177,Historical
1933-05-01,25.852235294117648,Historical
1933-06-01,26.67835294117647,Historical
1933-07-01,25.710617647058825,Historical
1933-08-01,24.84661764705882,Historical
1933-09-01,24.5715,Historical
1933-10-01,22.73676470588235,Historical
1933-11-01,19.250852941176472,Historical
1933-12-01,16.14570588235294,Historical
1934-01-01,14.707705882352942,Historical
1934-02-01,17.917264705882353,Historical
1934-03-01,21.272205882352942,Historical
1934-04-01,25.214176470588235,Historical
1934-05-01,27.046058823529414,Historical
1934-06-01,26.73135294117647,Historical
1934-07-01,25.758794117647057,Historical
1934-08-01,25.116,Historical
1934-09-01,25.119588235294117,Historical
1934-10-01,22.547882352941176,Historical
1934-11-01,18.595029411764706,Historical
1934-12-01,15.957558823529412,Historical
1935-01-01,14.505470588235294,Historical
1935-02-01,17.599911764705883,Historical
1935-03-01,21.652970588235295,Historical
1935-04-01,23.622264705882355,Historical
1935-05-01,27.812911764705884,Historical
1935-06-01,27.517294117647058,Historical
1935-07-01,25.742117647058823,Historical
1935-08-01,24.841676470588236,Historical
1935-09-01,24.558382352941177,Historical
1935-10-01,22.782823529411765,Historical
1935-11-01,19.377294117647057,Historical
1935-12-01,15.949352941176471,Historical
1936-01-01,14.882588235294117,Historical
1936-02-01,17.347499999999997,Historical
1936-03-01,21.52741176470588,Historical
1936-04-01,24.83414705882353,Historical
1936-05-01,27.66229411764706,Historical
1936-06-01,25.9665,Historical
1936-07-01,25.577617647058823,Historical
1936-08-01,25.27914705882353,Historical
1936-09-01,24.857970588235297,Historical
1936-10-01,22.707882352941176,Historical
1936-11-01,19.728088235294116,Historical
1936-12-01,16.08820588235294,Historical
1937-01-01,14.682176470588235,Historical
1937-02-01,17.703029411764707,Historical
1937-03-01,20.912764705882353,Historical
1937-04-01,24.352470588235295,Historical
1937-05-01,27.160676470588236,Historical
1937-06-01,27.436852941176472,Historical
1937-07-01,25.685264705882354,Historical
1937-08-01,25.510470588235293,Historical
1937-09-01,25.050529411764703,Historical
1937-10-01,22.554411764705883,Historical
1937-11-01,19.152911764705884,Historical
1937-12-01,15.463147058823528,Historical
1938-01-01,15.779176470588235,Historical
1938-02-01,16.62764705882353,Historical
1938-03-01,22.470029411764706,Historical
1938-04-01,25.73170588235294,Historical
1938-05-01,27.569617647058827,Historical
1938-06-01,26.01823529411765,Historical
1938-07-01,25.61967647058824,Historical
1938-08-01,25.35505882352941,Historical
1938-09-01,25.08764705882353,Historical
1938-10-01,23.025000000000002,Historical
1938-11-01,18.367382352941178,Historical
1938-12-01,16.073970588235294,Historical
1939-01-01,15.967941176470587,Historical
1939-02-01,17.804176470588235,Historical
1939-03-01,20.634911764705883,Historical
1939-04-01,24.668029411764707,Historical
1939-05-01,27.695588235294117,Historical
1939-06-01,26.829764705882354,Historical
1939-07-01,25.694970588235293,Historical
1939-08-01,25.659970588235296,Historical
1939-09-01,24.964205882352942,Historical
1939-10-01,23.32079411764706,Historical
1939-11-01,19.447558823529413,Historical
1939-12-01,16.21355882352941,Historical
1940-01-01,15.347823529411766,Historical
1940-02-01,17.489764705882354,Historical
1940-03-01,20.166735294117647,Historical
1940-04-01,24.659088235294117,Historical
1940-05-01,27.381764705882354,Historical
1940-06-01,27.267470588235295,Historical
1940-07-01,25.812882352941177,Historical
1940-08-01,25.143176470588237,Historical
1940-09-01,24.81344117647059,Historical
1940-10-01,23.279205882352944,Historical
1940-11-01,20.05941176470588,Historical
1940-12-01,16.17691176470588,Historical
1941-01-01,15.440117647058825,Historical
1941-02-01,18.18408823529412,Historical
1941-03-01,22.974529411764706,Historical
1941-04-01,26.406294117647057,Historical
1941-05-01,27.772558823529412,Historical
1941-06-01,27.072,Historical
1941-07-01,26.33958823529412,Historical
1941-08-01,25.87620588235294,Historical
1941-09-01,25.106323529411764,Historical
1941-10-01,23.768382352941178,Historical
1941-11-01,19.55923529411765,Historical
1941-12-01,17.089205882352942,Historical
1942-01-01,15.37970588235294,Historical
1942-02-01,18.141970588235296,Historical
1942-03-01,22.398264705882355,Historical
1942-04-01,25.533058823529412,Historical
1942-05-01,27.795088235294116,Historical
1942-06-01,27.81644117647059,Historical
1942-07-01,25.71929411764706,Historical
1942-08-01,25.025823529411767,Historical
1942-09-01,24.484264705882353,Historical
1942-10-01,23.12579411764706,Historical
1942-11-01,19.873205882352945,Historical
1942-12-01,15.923235294117646,Historical
1943-01-01,16.00314705882353,Historical
1943-02-01,17.21558823529412,Historical
1943-03-01,21.69585294117647,Historical
1943-04-01,24.042176470588235,Historical
1943-05-01,27.22179411764706,Historical
1943-06-01,26.870235294117645,Historical
1943-07-01,25.618117647058824,Historical
1943-08-01,24.91629411764706,Historical
1943-09-01,24.893588235294118,Historical
1943-10-01,22.86129411764706,Historical
1943-11-01,19.983529411764707,Historical
1943-12-01,16.586323529411768,Historical
1944-01-01,15.23505882352941,Historical
1944-02-01,17.02279411764706,Historical
1944-03-01,20.910735294117647,Historical
1944-04-01,24.071117647058824,Historical
1944-05-01,27.981676470588237,Historical
1944-06-01,27.21791176470588,Historical
1944-07-01,25.670970588235292,Historical
1944-08-01,25.44105882352941,Historical
1944-09-01,24.74144117647059,Historical
1944-10-01,22.825352941176472,Historical
1944-11-01,19.448,Historical
1944-12-01,16.692588235294117,Historical
1945-01-01,14.638676470588235,Historical
1945-02-01,16.915029411764706,Historical
1945-03-01,21.985911764705886,Historical
1945-04-01,24.284764705882353,Historical
1945-05-01,27.079500000000003,Historical
1945-06-01,27.612823529411767,Historical
1945-07-01,25.76038235294118,Historical
1945-08-01,25.46044117647059,Historical
1945-09-01,24.883000000000003,Historical
1945-10-01,22.496941176470585,Historical
1945-11-01,19.186794117647057,Historical
1945-12-01,15.262882352941176,Historical
1946-01-01,15.738235294117647,Historical
1946-02-01,18.90955882352941,Historical
1946-03-01,21.71302941176471,Historical
1946-04-01,25.135088235294116,Historical
1946-05-01,27.18714705882353,Historical
1946-06-01,26.862470588235293,Historical
1946-07-01,25.68729411764706,Historical
1946-08-01,25.388323529411768,Historical
1946-09-01,24.963588235294118,Historical
1946-10-01,23.05935294117647,Historical
1946-11-01,19.598676470588234,Historical
1946-12-01,16.494588235294117,Historical
1947-01-01,15.516911764705883,Historical
1947-02-01,17.877529411764705,Historical
1947-03-01,22.17264705882353,Historical
1947-04-01,25.68594117647059,Historical
1947-05-01,27.818735294117648,Historical
1947-06-01,28.017352941176473,Historical
1947-07-01,26.06264705882353,Historical
1947-08-01,25.624558823529412,Historical
1947-09-01,24.720735294117645,Historical
1947-10-01,22.23755882352941,Historical
1947-11-01,19.76602941176471,Historical
1947-12-01,16.60314705882353,Historical
1948-01-01,15.939088235294117,Historical
1948-02-01,17.48123529411765,Historical
1948-03-01,21.28567647058824,Historical
1948-04-01,25.629911764705884,Historical
1948-05-01,27.677176470588236,Historical
1948-06-01,27.64108823529412,Historical
1948-07-01,25.78770588235294,Historical
1948-08-01,25.16438235294118,Historical
1948-09-01,24.871352941176468,Historical
1948-10-01,23.017088235294118,Historical
1948-11-01,19.596852941176472,Historical
1948-12-01,15.724117647058824,Historical
